mapping_id,source_standard_id,source_edition_status,source_clause,source_semantic_item,target_resource,target_property_or_class,mapping_relation,cardinality_status,loss_disposition,evidence_level,conformance_claim,verification_gate,notes,source_cardinality,target_cardinality,target_datatype_or_range,controlled_vocabulary,local_constraint_status,unconstrained_targets,shacl_requirement_ids,positive_fixture_ids,negative_fixture_ids,shape_ids
KR-XW-011,KS-X-ISO-19131,current,PENDING-LAWFUL-FULLTEXT,data product specification,dcat:Dataset,dct:conformsTo,candidate-related,pending-source-clause,potential-requirement-loss,E1,informative-pending,BS-ISO19115-KS-CLAUSE,A product specification is not replaced by a profile marker or quality status.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,dct:conformsTo,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-012,KS-X-ISO-19157-1,current,PENDING-LAWFUL-FULLTEXT,quality element,molit:QualityMappingStatement,molit:sourceQualityElement|molit:mappedQualityMetric,candidate-related,pending-source-clause,loss-ledger-required,E1,informative-pending,BS-QUALITY-LOSS,No exact quality-element equivalence is asserted.,pending-source-clause,MOLIT-QUAL-MAP-001-P-MAPPEDQUALITYMETRIC-001=unspecified..1|MOLIT-QUAL-MAP-001-P-SOURCEQUALITYELEMENT-001=1..1,MOLIT-QUAL-MAP-001-P-MAPPEDQUALITYMETRIC-001=http://www.w3.org/ns/dqv#Metric&http://www.w3.org/ns/shacl#IRI|MOLIT-QUAL-MAP-001-P-SOURCEQUALITYELEMENT-001=http://www.w3.org/2004/02/skos/core#Concept&http://www.w3.org/ns/shacl#IRI,MOLIT-QUAL-MAP-001-P-MAPPEDQUALITYMETRIC-001=none|MOLIT-QUAL-MAP-001-P-SOURCEQUALITYELEMENT-001=none,linked,none,MOLIT-QUAL-MAP-001-P-MAPPEDQUALITYMETRIC-001|MOLIT-QUAL-MAP-001-P-SOURCEQUALITYELEMENT-001,POS-QUALITY-QUALITY-CATALOG,NEG-MUT-QUAL-MAP-001-P-MAPPEDQUALITYMETRIC-001|NEG-MUT-QUAL-MAP-001-P-SOURCEQUALITYELEMENT-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityMappingStatementShape
KR-XW-013,KS-X-ISO-19157-1,current,PENDING-LAWFUL-FULLTEXT,evaluation method,dqv:QualityMeasurement,molit:qualityEvaluationMethod,candidate-related,pending-source-clause,potential-method-loss,E1,informative-pending,BS-QUALITY-LOSS,The controlled method type requires a separate versioned method document for algorithm details.,pending-source-clause,MOLIT-QUAL-PROV-001-P-QUALITYEVALUATIONMETHOD-001=1..1,MOLIT-QUAL-PROV-001-P-QUALITYEVALUATIONMETHOD-001=http://www.w3.org/ns/shacl#IRI,MOLIT-QUAL-PROV-001-P-QUALITYEVALUATIONMETHOD-001=https://data.molit.go.kr/id/concept/quality-evaluation-method/reference-comparison&https://data.molit.go.kr/id/concept/quality-evaluation-method/rule-based&https://data.molit.go.kr/id/concept/quality-evaluation-method/sample-based&https://data.molit.go.kr/id/concept/quality-evaluation-method/self-diagnostic&https://data.molit.go.kr/id/concept/quality-evaluation-method/whole-population,linked,none,MOLIT-QUAL-PROV-001-P-QUALITYEVALUATIONMETHOD-001,POS-QUALITY-QUALITY-CATALOG,NEG-MUT-QUAL-PROV-001-P-QUALITYEVALUATIONMETHOD-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityEvaluationProvenanceShape
KR-XW-014,KS-X-ISO-19157-1,current,PENDING-LAWFUL-FULLTEXT,evaluation scope,dqv:QualityMeasurement,molit:qualityEvaluationScope,candidate-related,pending-source-clause,potential-scope-loss,E1,informative-pending,BS-QUALITY-LOSS,RC.1 carries a string projection and retains structured source scope outside the public graph.,pending-source-clause,MOLIT-QUAL-PROV-001-P-QUALITYEVALUATIONSCOPE-001=1..1,MOLIT-QUAL-PROV-001-P-QUALITYEVALUATIONSCOPE-001=http://www.w3.org/2001/XMLSchema#string,MOLIT-QUAL-PROV-001-P-QUALITYEVALUATIONSCOPE-001=none,linked,none,MOLIT-QUAL-PROV-001-P-QUALITYEVALUATIONSCOPE-001,POS-QUALITY-QUALITY-CATALOG,NEG-MUT-QUAL-PROV-001-P-QUALITYEVALUATIONSCOPE-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityEvaluationProvenanceShape
KR-XW-015,KS-X-ISO-19157-1,current,PENDING-LAWFUL-FULLTEXT,quality result,dqv:QualityMeasurement,dqv:value|molit:qualityResultKind,candidate-related,pending-source-clause,potential-result-loss,E1,informative-pending,BS-QUALITY-LOSS,Boolean categorical and descriptive source results are not coerced into numeric DQV values.,pending-source-clause,MOLIT-QUAL-MEASURE-001=unspecified..unbounded|MOLIT-QUAL-MEASURE-001-P-VALUE-001=1..1|MOLIT-QUAL-PROV-001-P-QUALITYRESULTKIND-001=1..1,MOLIT-QUAL-MEASURE-001=unconstrained-by-direct-shacl|MOLIT-QUAL-MEASURE-001-P-VALUE-001=unconstrained-by-direct-shacl|MOLIT-QUAL-PROV-001-P-QUALITYRESULTKIND-001=http://www.w3.org/ns/shacl#IRI,MOLIT-QUAL-MEASURE-001=none|MOLIT-QUAL-MEASURE-001-P-VALUE-001=none|MOLIT-QUAL-PROV-001-P-QUALITYRESULTKIND-001=https://data.molit.go.kr/id/concept/quality-result-kind/boolean&https://data.molit.go.kr/id/concept/quality-result-kind/categorical&https://data.molit.go.kr/id/concept/quality-result-kind/descriptive&https://data.molit.go.kr/id/concept/quality-result-kind/quantitative,linked,none,MOLIT-QUAL-MEASURE-001|MOLIT-QUAL-MEASURE-001-P-VALUE-001|MOLIT-QUAL-PROV-001-P-QUALITYRESULTKIND-001,POS-QUALITY-QUALITY-CATALOG,NEG-MUT-QUAL-MEASURE-001|NEG-MUT-QUAL-MEASURE-001-P-VALUE-001|NEG-MUT-QUAL-PROV-001-P-QUALITYRESULTKIND-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityEvaluationProvenanceShape|https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityMeasurementShape
KR-XW-016,KS-X-ISO-19157-1,current,PENDING-LAWFUL-FULLTEXT,quality mapping loss,molit:QualityMappingStatement,molit:qualityLossDisposition|molit:qualityLossNote,candidate-local-control,local-cardinality-defined,explicit-loss,E1,informative-pending,BS-QUALITY-LOSS,Every reviewed source-to-DQV mapping records loss disposition and reverse conditions.,pending-source-clause,MOLIT-QUAL-MAP-001=unspecified..unbounded|MOLIT-QUAL-MAP-001-P-QUALITYLOSSDISPOSITION-001=1..1,MOLIT-QUAL-MAP-001=unconstrained-by-direct-shacl|MOLIT-QUAL-MAP-001-P-QUALITYLOSSDISPOSITION-001=http://www.w3.org/ns/shacl#IRI,MOLIT-QUAL-MAP-001=none|MOLIT-QUAL-MAP-001-P-QUALITYLOSSDISPOSITION-001=https://data.molit.go.kr/id/concept/quality-loss-disposition/irreversible-loss&https://data.molit.go.kr/id/concept/quality-loss-disposition/lossless&https://data.molit.go.kr/id/concept/quality-loss-disposition/not-published&https://data.molit.go.kr/id/concept/quality-loss-disposition/reversible-loss&https://data.molit.go.kr/id/concept/quality-loss-disposition/unmapped,partial,molit:qualityLossNote(no-direct-requirement-row;unit-evidence-in-term-governance),MOLIT-QUAL-MAP-001|MOLIT-QUAL-MAP-001-P-QUALITYLOSSDISPOSITION-001,POS-QUALITY-QUALITY-CATALOG,NEG-MUT-QUAL-MAP-001|NEG-MUT-QUAL-MAP-001-P-QUALITYLOSSDISPOSITION-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#QualityMappingStatementShape
KR-XW-017,KS-X-ISO-19111,current,PENDING-LAWFUL-FULLTEXT,coordinate reference system,molit:SpatialDataset,geodcatap:referenceSystem,candidate-related,pending-source-clause,potential-axis-loss,E2,informative-pending,BS-CRS-COVERAGE,OGC resolver snapshots do not replace lawful KS clause review or transformation-accuracy tests.,pending-source-clause,MOLIT-GEO-001-P-REFERENCESYSTEM-001=1..unbounded,MOLIT-GEO-001-P-REFERENCESYSTEM-001=http://www.w3.org/2004/02/skos/core#Concept&http://www.w3.org/ns/shacl#IRI,MOLIT-GEO-001-P-REFERENCESYSTEM-001=http://www.opengis.net/def/crs/EPSG/0/3857&http://www.opengis.net/def/crs/EPSG/0/4326&http://www.opengis.net/def/crs/EPSG/0/4737&http://www.opengis.net/def/crs/EPSG/0/5179&http://www.opengis.net/def/crs/EPSG/0/5185&http://www.opengis.net/def/crs/EPSG/0/5186&http://www.opengis.net/def/crs/EPSG/0/5187&http://www.opengis.net/def/crs/EPSG/0/5188&http://www.opengis.net/def/crs/OGC/1.3/CRS84,linked,none,MOLIT-GEO-001-P-REFERENCESYSTEM-001,POS-GEO-GEO-CATALOG,NEG-MUT-GEO-001-P-REFERENCESYSTEM-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#SpatialDatasetShape
KR-XW-018,TTAK.OT-10.1406,current,PENDING-LAWFUL-FULLTEXT,DCAT-AP-KR dataset record,dcat:Dataset,DCAT-AP-3.0.1-dataset,candidate-migration,pending-version-diff,unassessed,E1,informative-pending,BS-DCAT-KR-VERSION,The source profile is based on DCAT-AP 2.1; no 2.1-to-3.0.1 equivalence is asserted.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,DCAT-AP-3.0.1-dataset,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-019,TTAK.OT-10.1406,current,PENDING-LAWFUL-FULLTEXT,DCAT-AP-KR distribution record,dcat:Distribution,DCAT-AP-3.0.1-distribution,candidate-migration,pending-version-diff,unassessed,E1,informative-pending,BS-DCAT-KR-VERSION,Property range cardinality and controlled-vocabulary differences require dual validation.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,DCAT-AP-3.0.1-distribution,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-020,TTAK.KO-10.1422,current,PENDING-LAWFUL-FULLTEXT,Korean geospatial portal metadata,molit:SpatialDataset,GeoDCAT-AP-3.1.0-profile,candidate-migration,pending-version-diff,unassessed,E1,informative-pending,BS-TTA-CROSSWALK,The Korean source base version and GeoDCAT-AP 3.1.0 differences remain pending.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,GeoDCAT-AP-3.1.0-profile,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-021,TTAK.KO-10.1510-Part3,current,PENDING-LAWFUL-FULLTEXT,digital national-land metadata,MOLIT-AP,core|geo-conformance-module,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-TTA-CROSSWALK,Public title and scope are insufficient for field or cardinality claims.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,core|geo-conformance-module,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-022,TTAK.KO-10.1557,current,PENDING-LAWFUL-FULLTEXT,common catalogue exchange item,dcat:Catalog|dcat:Dataset|dcat:Distribution,core-conformance-module,candidate-related,pending-source-clause,loss-ledger-required,E1,informative-pending,BS-TTA-CROSSWALK,Source paths reverse rules and fixtures remain pending.,pending-source-clause,MOLIT-CAT-001-P-TITLE-001=1..unbounded|MOLIT-DS-001-P-TITLE-001=1..unbounded,MOLIT-CAT-001-P-TITLE-001=http://www.w3.org/ns/shacl#Literal|MOLIT-DS-001-P-TITLE-001=http://www.w3.org/ns/shacl#Literal,MOLIT-CAT-001-P-TITLE-001=none|MOLIT-DS-001-P-TITLE-001=none,partial,dcat:Distribution,MOLIT-CAT-001-P-TITLE-001|MOLIT-DS-001-P-TITLE-001,POS-CORE-CORE-CATALOG,NEG-MUT-CAT-001-P-TITLE-001|NEG-MUT-DS-001-P-TITLE-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#CatalogShape|https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#DatasetShape
KR-XW-023,TTAK.KO-10.1352-Part2,current,PENDING-LAWFUL-FULLTEXT,cross-domain transport term,MOLIT-ontology,local-term-or-SKOS-mapping,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-TTA-CROSSWALK,No owl:equivalentClass owl:equivalentProperty or skos:exactMatch is generated before term-context review.,pending-source-clause,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint,local-term-or-SKOS-mapping,no-local-constraint,no-local-constraint,no-local-constraint,no-local-constraint
KR-XW-024,MOLIT-NODE-LINK-CONSTRUCTION-2026-344,current,PENDING-LAWFUL-FULLTEXT,network authority and identifier,molit:NetworkReference,molit:networkAuthority|molit:networkIdentifier,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-REAL-DATA-COVERAGE,Actual node-link identifier syntax and issuing-authority evidence require an institutional fixture.,pending-source-clause,MOLIT-NET-REF-001-P-NETWORKAUTHORITY-001=1..1|MOLIT-NET-REF-001-P-NETWORKIDENTIFIER-001=1..1,MOLIT-NET-REF-001-P-NETWORKAUTHORITY-001=http://www.w3.org/ns/shacl#IRI&http://xmlns.com/foaf/0.1/Agent|MOLIT-NET-REF-001-P-NETWORKIDENTIFIER-001=http://www.w3.org/2001/XMLSchema#string,MOLIT-NET-REF-001-P-NETWORKAUTHORITY-001=none|MOLIT-NET-REF-001-P-NETWORKIDENTIFIER-001=none,linked,none,MOLIT-NET-REF-001-P-NETWORKAUTHORITY-001|MOLIT-NET-REF-001-P-NETWORKIDENTIFIER-001,POS-NETWORK-NETWORK-CATALOG,NEG-MUT-NET-REF-001-P-NETWORKAUTHORITY-001|NEG-MUT-NET-REF-001-P-NETWORKIDENTIFIER-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#NetworkReferenceShape
KR-XW-025,MOLIT-NODE-LINK-CONSTRUCTION-2026-344,current,PENDING-LAWFUL-FULLTEXT,network edition,molit:NetworkReference,molit:networkVersion|molit:networkValidFrom|molit:networkValidUntil,candidate-related,pending-source-clause,potential-date-loss,E1,informative-pending,BS-REAL-DATA-COVERAGE,Edition and validity dates remain distinct from file publication time.,pending-source-clause,MOLIT-NET-REF-001-P-NETWORKVERSION-001=1..1|MOLIT-NET-SNAPSHOT-001-P-NETWORKVALIDFROM-001=1..1,MOLIT-NET-REF-001-P-NETWORKVERSION-001=http://www.w3.org/2001/XMLSchema#string|MOLIT-NET-SNAPSHOT-001-P-NETWORKVALIDFROM-001=http://www.w3.org/2001/XMLSchema#date,MOLIT-NET-REF-001-P-NETWORKVERSION-001=none|MOLIT-NET-SNAPSHOT-001-P-NETWORKVALIDFROM-001=none,partial,molit:networkValidUntil(no-complete-profile-requirement-fixture-pair;unit-evidence-in-term-governance),MOLIT-NET-REF-001-P-NETWORKVERSION-001|MOLIT-NET-SNAPSHOT-001-P-NETWORKVALIDFROM-001,POS-NETWORK-NETWORK-CATALOG,NEG-MUT-NET-REF-001-P-NETWORKVERSION-001|NEG-MUT-NET-SNAPSHOT-001-P-NETWORKVALIDFROM-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#NetworkReferenceShape|https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#NetworkSnapshotIdentityShape
KR-XW-026,MOLIT-NODE-LINK-MANAGEMENT-2023-23,current,PENDING-LAWFUL-FULLTEXT,distribution integrity and lifecycle,molit:NetworkReference,molit:networkSnapshotChecksum|molit:networkLifecycleStatus,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-REAL-DATA-COVERAGE,SHA-256 is fixed for the RC.1 projection; source checksum algorithms require reviewed mapping.,pending-source-clause,MOLIT-NET-SNAPSHOT-001-P-NETWORKLIFECYCLESTATUS-001=1..1|MOLIT-NET-SNAPSHOT-001-P-NETWORKSNAPSHOTCHECKSUM-001=1..1,MOLIT-NET-SNAPSHOT-001-P-NETWORKLIFECYCLESTATUS-001=http://www.w3.org/ns/shacl#IRI|MOLIT-NET-SNAPSHOT-001-P-NETWORKSNAPSHOTCHECKSUM-001=http://www.w3.org/2001/XMLSchema#hexBinary,MOLIT-NET-SNAPSHOT-001-P-NETWORKLIFECYCLESTATUS-001=https://data.molit.go.kr/id/concept/network-lifecycle-status/candidate&https://data.molit.go.kr/id/concept/network-lifecycle-status/current&https://data.molit.go.kr/id/concept/network-lifecycle-status/superseded&https://data.molit.go.kr/id/concept/network-lifecycle-status/withdrawn|MOLIT-NET-SNAPSHOT-001-P-NETWORKSNAPSHOTCHECKSUM-001=none,linked,none,MOLIT-NET-SNAPSHOT-001-P-NETWORKLIFECYCLESTATUS-001|MOLIT-NET-SNAPSHOT-001-P-NETWORKSNAPSHOTCHECKSUM-001,POS-NETWORK-NETWORK-CATALOG,NEG-MUT-NET-SNAPSHOT-001-P-NETWORKLIFECYCLESTATUS-001|NEG-MUT-NET-SNAPSHOT-001-P-NETWORKSNAPSHOTCHECKSUM-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#NetworkSnapshotIdentityShape
KR-XW-027,MOLIT-BASIC-TRAFFIC-I-2021-1059,current,PENDING-LAWFUL-FULLTEXT,centre-to-centre observation payload,molit:ObservationDataset,molit:observedProperty|molit:observationSubjectType,candidate-related,pending-source-clause,unassessed,E1,informative-pending,BS-TRANSPORT-UNIT-SEMANTICS,The metadata profile does not replace the centre-to-centre payload interface.,pending-source-clause,MOLIT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001=1..1|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=1..1,MOLIT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001=http://www.w3.org/ns/shacl#IRI|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=http://www.w3.org/ns/shacl#IRI,MOLIT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001=https://data.molit.go.kr/id/concept/observation-subject-type/area&https://data.molit.go.kr/id/concept/observation-subject-type/facility&https://data.molit.go.kr/id/concept/observation-subject-type/network-element&https://data.molit.go.kr/id/concept/observation-subject-type/section&https://data.molit.go.kr/id/concept/observation-subject-type/site&https://data.molit.go.kr/id/concept/observation-subject-type/vehicle-population|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001=https://data.molit.go.kr/id/concept/observed-property/speed&https://data.molit.go.kr/id/concept/observed-property/traffic-volume&https://data.molit.go.kr/id/concept/observed-property/travel-time,linked,none,MOLIT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001|MOLIT-OBS-001-P-OBSERVEDPROPERTY-001,POS-OBSERVATION-OBSERVATION-CATALOG,NEG-MUT-OBS-001-P-OBSERVATIONSUBJECTTYPE-001|NEG-MUT-OBS-001-P-OBSERVEDPROPERTY-001,https://data.molit.go.kr/shape/molit-dcat-ap/1.0.0-rc.1#ObservationDatasetShape
